title,description,index
A Muppets Christmas: Letters to Santa (2008),Comedy|Family|Music,1061
A Murder in the Park (2014),Documentary|Crime|History,1062
A Murder of Crows (1998),Action|Crime|Thriller,1063
A nagy f?_zet (2013),Drama|War,1064
A Name for Evil (1973),Drama|Horror,1065
A Nanny for Christmas (2010),Comedy,1066
A Nanny's Revenge (2012),Crime|Mystery|Thriller,1067
A Necessary Death (2008),Drama|Thriller,1068
A New Kind of Love (1963),Comedy|Romance,1069
A New Leaf (1971),Comedy|Romance,1070
A New Wave (2006),Action|Crime,1071
A Night at the Opera (1935),Comedy|Music|Musical,1072
A Night at the Roxbury,"A Night at the Roxbury Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own. Score!",1073
A Night at the Roxbury (1998),Comedy|Music|Romance,1074
A Night in Casablanca (1946),Comedy,1075
A Night in Heaven (1983),Drama|Romance,1076
A Night in Old Mexico (2013),Adventure|Drama,1077
A Night in the Life of Jimmy Reardon (1988),Comedy|Drama|Romance,1078
A Night in the Show (1915),Comedy|Short,1079
A Night in the Woods (2011),Horror|Mystery,1080
A Night Out (1915),Comedy|Short,1081
A Night to Remember (1942),Comedy|Mystery|Romance,1082
A Night to Remember (1958),Action|Biography|Drama,1083
A Nightingale Falling (2014),Drama|History|War,1084
A Nightmare in Las Cruces (2011),Documentary,1085
A Nightmare on Elm Street,"A Nightmare on Elm Street Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson (Heather Langenkamp) traces the cause to child molester Fred Krueger (Robert Englund), who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen (Johnny Depp), must devise a plan to lure the monster out of the realm of nightmares and into the real world... If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",1086
A Nightmare on Elm Street (1984),Horror,1087
A Nightmare on Elm Street (2010),Horror|Mystery|Thriller,1088
A Nightmare on Elm Street 2: Freddy's Revenge (1985),Horror|Thriller,1089
A Nightmare on Elm Street 3: Dream Warriors,"A Nightmare on Elm Street 3: Dream Warriors It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide. If you think you're ready for Freddy, think again!",1090
A Nightmare on Elm Street 3: Dream Warriors (1987),Action|Fantasy|Horror,1091
A Nightmare on Elm Street 4: The Dream Master,"A Nightmare on Elm Street 4: The Dream Master Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain. Terror beyond your wildest dreams.",1092
A Nightmare on Elm Street 4: The Dream Master (1988),Horror|Thriller,1093
A Nightmare on Elm Street 5: The Dream Child,"A Nightmare on Elm Street 5: The Dream Child Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son? Now Freddyƒ??s a daddy, heƒ??s killing for two.",1094
A Nightmare on Elm Street 5: The Dream Child (1989),Fantasy|Horror|Romance,1095
A Nightmare on Elm Street Part 2: Freddy's Revenge,"A Nightmare on Elm Street Part 2: Freddy's Revenge A new family moves into the house on Elm Street, and before long, the kids are again having nightmares about deceased child murderer Freddy Krueger. This time, Freddy attempts to possess a teenage boy to cause havoc in the real world, and can only be overcome if the boy's sweetheart can master her fear. Someone is coming back to Elm Street!",1096
A Note of Triumph: The Golden Age of Norman Corwin (2005),Documentary|Short|Biography,1097
A Novel Romance (2015),Comedy|Family|Romance,1098
A Nymphoid Barbarian in Dinosaur Hell (1990),Fantasy|Horror|Sci-Fi,1099
A Paralyzing Fear: The Story of Polio in America (1998),Documentary,1100
A Passage to India,"A Passage to India The film is set during the period of growing influence of the Indian independence movement in the British Raj. It begins with the arrival in India of a British woman, Miss Adela Quested (Judy Davis), who is joining her fianc??, a city magistrate named Ronny Heaslop (Nigel Havers). She and Ronny's mother, Mrs. Moore (Peggy Ashcroft), befriend an Indian doctor, Aziz H. Ahmed (Victor Banerjee). David Lean, the Director of ""Doctor Zhivago"", ""Lawrence of Arabia"" and ""The Bridge on the River Kwai"", invites you on . .",1101
A Passage to India (1984),Adventure|Drama|History,1102
A Patch of Blue (1965),Drama|Romance,1103
A Perfect Candidate (1996),Documentary,1104
A Perfect Christmas List (2014),Comedy|Drama|Family,1105
A Perfect Couple (1979),Comedy|Musical|Romance,1106
A Perfect Day (2015),Comedy|Drama|War,1107
A Perfect Ending (2012),Drama|Romance,1108
A Perfect Fake (2005),Documentary,1109
A Perfect Getaway,"A Perfect Getaway For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers. Welcome to paradise. Enter at your own risk.",1110
A Perfect Getaway (2009),Adventure|Mystery|Thriller,1111
A Perfect Man (2013),Drama|Romance,1112
A Perfect Murder (1998),Crime|Drama|Thriller,1113
A Perfect Wedding (2015),Comedy|Drama|Romance,1114
A Perfect World (1993),Crime|Drama|Thriller,1115
A Performance of Macbeth (1979),Drama,1116
A Personal Journey with Martin Scorsese Through American Movies (1995),Documentary,1117
A Phantasy (1952),Animation|Short,1118
A Piece of the Action (1977),Crime|Comedy,1119
A Pig's Tale (1994),Adventure|Comedy|Drama,1120
A Pistol for Ringo (1965),Action|Drama|Western,1121
A Place at the Table (2012),Documentary,1122
A Place Called Chiapas (1998),Documentary,1123
A Place Called Today (1972),Drama,1124
A Place in the Sun (1951),Drama|Romance,1125
A Place of One's Own (1945),Drama|Mystery|Thriller,1126
A Plumm Summer (2007),Adventure|Family,1127
A Poem Is a Naked Person (1974),Documentary|Music,1128
